U_ID,CODEBASE,CODE1,CODE2,TOWN_ID,TOWN,COUNTY_ID,COUNTY,X,Y,AREA,bus_stops,MRT_stops,lon,lat
5164,A6306-0401-00,A6306-34-004,A6306-34,63000060,大同區,63000,臺北市,302481.03478,2772170.0099,4227.31392,0,0,121.52015787891963,25.056802328896747
5165,A6309-0063-00,A6309-05-006,A6309-05,63000090,南港區,63000,臺北市,310958.3202,2772151.23449,3648.85312,0,0,121.60417495608021,25.056314798831625
5166,A6306-0404-00,A6306-36-001,A6306-36,63000060,大同區,63000,臺北市,301931.39343,2772153.28444,9463.36219,2,0,121.51470973510924,25.05667031174756
5167,A6304-0770-00,A6304-55-002,A6304-55,63000040,中山區,63000,臺北市,304281.34253,2772149.59291,18128.56883,1,0,121.53799994297874,25.056554441462367
5168,A6301-0297-00,A6301-29-004,A6301-29,63000010,松山區,63000,臺北市,304924.02067,2772147.06663,4240.15619,0,0,121.54436940755927,25.056508424032515
5169,A6310-1188-00,A6310-87-005,A6310-87,63000100,內湖區,63000,臺北市,308170.30675,2772126.21809,9484.15325,0,0,121.57654224922082,25.056198791984148
5170,A6306-0403-00,A6306-35-001,A6306-35,63000060,大同區,63000,臺北市,301770.54144,2772153.53024,8861.97258,0,0,121.51311553600598,25.056678047300927
5171,A6309-0061-00,A6309-05-008,A6309-05,63000090,南港區,63000,臺北市,311063.86577,2772168.38449,1362.04519,0,0,121.60522176212149,25.056465366650823
5406,A6306-0439-00,A6306-37-006,A6306-37,63000060,大同區,63000,臺北市,302235.76961,2771979.9992,4329.64116,0,0,121.51771984188619,25.055095416673865
5407,A6306-0438-00,A6306-38-006,A6306-38,63000060,大同區,63000,臺北市,301588.56365,2771980.32226,4826.97421,0,0,121.51130546068072,25.05512055405103
5408,A6309-0107-00,A6309-08-007,A6309-08,63000090,南港區,63000,臺北市,310810.44631,2771973.81695,4654.61761,0,0,121.60270156724141,25.05471906114815
5409,A6309-0099-00,A6309-08-004,A6309-08,63000090,南港區,63000,臺北市,310991.97943,2771983.98002,4568.93723,0,0,121.60450114068952,25.05480349972248
5410,A6301-0360-00,A6301-36-002,A6301-36,63000010,松山區,63000,臺北市,306988.51567,2771995.57769,2277.03216,0,0,121.5648242341071,25.055064393416533
5411,A6310-1210-00,A6310-89-003,A6310-89,63000100,內湖區,63000,臺北市,308405.05049,2771979.58285,3149.6321,0,0,121.57886254858286,25.05486594090274
5412,A6304-0836-00,A6304-62-002,A6304-62,63000040,中山區,63000,臺北市,303062.03028,2771988.76317,3970.207,0,0,121.52590915491557,25.055145766293926
5413,A6304-0837-00,A6304-62-002,A6304-62,63000040,中山區,63000,臺北市,303119.76083,2771987.88847,1252.19674,0,0,121.52648128197966,25.05513584246556
5414,A6301-0372-00,A6301-32-006,A6301-32,63000010,松山區,63000,臺北市,305822.12373,2771966.74993,5223.4349,0,0,121.55326315876268,25.054847651636162
5415,A6306-0444-00,A6306-35-007,A6306-35,63000060,大同區,63000,臺北市,301844.18111,2771962.59346,5337.3723,1,0,121.51383819329692,25.054951756179587
5416,A6304-0838-00,A6304-62-002,A6304-62,63000040,中山區,63000,臺北市,303180.78013,2771986.89903,4205.91083,0,0,121.52708599888895,25.055124764899894
5417,A6301-0386-00,A6301-38-007,A6301-38,63000010,松山區,63000,臺北市,307518.64005,2771927.53209,7142.32959,1,0,121.57007535371186,25.05443001315862
5418,A6306-0442-00,A6306-37-007,A6306-37,63000060,大同區,63000,臺北市,302071.16605,2771973.54176,4582.11891,0,0,121.51608822911545,25.055042796914037
5419,A6301-0369-00,A6301-36-004,A6301-36,63000010,松山區,63000,臺北市,306918.30765,2771978.63041,3444.33547,1,0,121.56412771508079,25.054914040019074
5420,A6309-0110-00,A6309-14-001,A6309-14,63000090,南港區,63000,臺北市,311224.37053,2771967.6714,7931.8504,1,0,121.60680357889004,25.054646876656946
5421,A6304-0839-00,A6304-61-003,A6304-61,63000040,中山區,63000,臺北市,303294.88107,2771985.65208,5892.53458,0,0,121.52821679138148,25.05510949000676
5422,A6304-0840-00,A6304-61-003,A6304-61,63000040,中山區,63000,臺北市,303426.73226,2771983.90572,6054.58994,0,0,121.5295234845601,25.055089070768496
5661,A6304-0907-00,A6304-65-005,A6304-65,63000040,中山區,63000,臺北市,304137.84846,2771803.63378,2114.7695,0,0,121.5365641775183,25.05343629573559
5662,A6304-0919-00,A6304-63-008,A6304-63,63000040,中山區,63000,臺北市,304229.14428,2771764.83503,13027.5715,1,0,121.5374674581856,25.053082752373168
5663,A6306-0481-00,A6306-39-004,A6306-39,63000060,大同區,63000,臺北市,301234.94725,2771774.65943,5416.75195,0,0,121.5077931505292,25.053275861955463
5664,A6306-0483-00,A6306-42-002,A6306-42,63000060,大同區,63000,臺北市,301656.36846,2771769.31186,3661.11411,1,0,121.5119695540486,25.053213246702313
5665,A6301-0441-00,A6301-34-007,A6301-34,63000010,松山區,63000,臺北市,306504.52155,2771791.78759,7619.45041,0,0,121.56001909596006,25.053242764654737
5666,A6306-0482-00,A6306-41-003,A6306-41,63000060,大同區,63000,臺北市,302148.44655,2771771.03526,9178.57069,0,0,121.51684648068152,25.053211915368436
5667,A6304-0913-00,A6304-59-008,A6304-59,63000040,中山區,63000,臺北市,302618.00859,2771784.22765,11810.27834,0,0,121.52150069159994,25.053314748943446
5668,A6301-0440-00,A6301-42-006,A6301-42,63000010,松山區,63000,臺北市,305943.10258,2771794.27756,4963.02463,0,0,121.55445515268096,25.053286118401555
5669,A6301-0444-00,A6301-37-008,A6301-37,63000010,松山區,63000,臺北市,306648.28371,2771790.04528,6023.33827,0,0,121.5614438042333,25.053221656433138
5670,A6301-0467-00,A6301-46-003,A6301-46,63000010,松山區,63000,臺北市,306801.30191,2771734.26907,28705.21245,1,0,121.56295801711278,25.05271237529281
5671,A6304-0910-00,A6304-62-007,A6304-62,63000040,中山區,63000,臺北市,302876.39315,2771788.52422,3366.65879,0,0,121.52406163929123,25.053344524924828
5672,A6301-0453-00,A6301-47-001,A6301-47,63000010,松山區,63000,臺北市,306953.34992,2771772.83353,6901.3279,1,0,121.56446650264152,25.053054811561882
5673,A6301-0446-00,A6301-47-001,A6301-47,63000010,松山區,63000,臺北市,307071.55257,2771783.02827,5191.23267,0,0,121.56563839033421,25.05314239182321
5674,A6309-0161-00,A6309-12-007,A6309-12,63000090,南港區,63000,臺北市,308933.44265,2771742.32585,13084.25178,0,0,121.58408916953339,25.052703518680925
5675,A6309-0163-00,A6309-13-004,A6309-13,63000090,南港區,63000,臺北市,312151.4664,2771746.59186,4844.80324,0,0,121.61598176849881,25.05261319291565
5676,A6301-0443-00,A6301-36-008,A6301-36,63000010,松山區,63000,臺北市,307204.33666,2771790.36957,4723.04435,0,0,121.5669546727323,25.05320365076297
5932,A6304-0988-00,A6304-66-003,A6304-66,63000040,中山區,63000,臺北市,302893.71032,2771542.21561,7463.04027,0,0,121.5242238075441,25.051120260002275
5933,A6309-0190-00,A6309-15-001,A6309-15,63000090,南港區,63000,臺北市,308726.30208,2771538.63874,4731.41301,0,0,121.58202760035364,25.050872720254755
5934,A6304-0991-00,A6304-67-002,A6304-67,63000040,中山區,63000,臺北市,304731.89118,2771537.03563,4582.18549,0,0,121.54244097869181,25.051008085884476
5935,A6301-0549-00,A6301-52-001,A6301-52,63000010,松山區,63000,臺北市,307265.55665,2771560.53639,2656.12978,0,0,121.5675518487423,25.051126428481044
5936,A6301-0550-00,A6301-52-001,A6301-52,63000010,松山區,63000,臺北市,307329.17605,2771559.23976,2698.09965,0,0,121.5681822943324,25.051112312252208
5937,A6301-0559-00,A6301-52-005,A6301-52,63000010,松山區,63000,臺北市,307389.67253,2771548.24364,3938.22208,1,0,121.56878138598807,25.05101074609305
5938,A6306-0533-00,A6306-42-008,A6306-42,63000060,大同區,63000,臺北市,301747.29438,2771541.34303,5067.71657,0,0,121.51286213434352,25.051152045249776
5939,A6306-0542-00,A6306-44-007,A6306-44,63000060,大同區,63000,臺北市,301565.82803,2771504.14848,12036.20401,1,0,121.51106230424858,25.05082245291797
5940,A6301-0560-00,A6301-52-006,A6301-52,63000010,松山區,63000,臺北市,307487.82165,2771548.79438,6831.40264,0,0,121.56975411387629,25.051011990268012
5941,A6304-0980-00,A6304-71-003,A6304-71,63000040,中山區,63000,臺北市,303315.83632,2771556.10099,4998.41921,0,0,121.52840784993353,25.051230793013247
5942,A6304-0982-00,A6304-69-003,A6304-69,63000040,中山區,63000,臺北市,303910.46247,2771554.86955,4702.37162,0,0,121.53430088012864,25.051198594899574
5943,A6304-0981-00,A6304-71-002,A6304-71,63000040,中山區,63000,臺北市,303428.15615,2771555.60925,5102.04525,0,0,121.5295209838326,25.051222389548688
5944,A6304-0987-00,A6304-68-002,A6304-68,63000040,中山區,63000,臺北市,302653.21352,2771549.5506,4035.28715,1,0,121.52184062848141,25.051194872442185
5945,A6304-0992-00,A6304-66-002,A6304-66,63000040,中山區,63000,臺北市,303081.63863,2771535.94872,7342.31432,0,0,121.5260860412448,25.05105709820099
5946,A6304-0984-00,A6304-71-002,A6304-71,63000040,中山區,63000,臺北市,303556.89464,2771554.70877,6538.91827,1,0,121.53079681965436,25.05120970629144
5947,A6304-0983-00,A6304-69-002,A6304-69,63000040,中山區,63000,臺北市,304022.86679,2771554.59305,5664.68996,0,0,121.53541485823999,25.05119208743511
5948,A6304-0985-00,A6304-71-004,A6304-71,63000040,中山區,63000,臺北市,303705.18531,2771553.47055,7043.78989,0,1,121.53226641482794,25.05119326875758
6188,A6309-0223-00,A6309-19-003,A6309-19,63000090,南港區,63000,臺北市,309764.55845,2771350.60903,3619.86194,0,0,121.59230901702725,25.049134544221936
6189,A6301-0661-00,A6301-61-004,A6301-61,63000010,松山區,63000,臺北市,306542.82824,2771352.40142,4302.64564,0,0,121.56038070659973,25.049274604198626
6190,A6307-0007-00,A6307-33-001,A6307-33,63000070,萬華區,63000,臺北市,300829.29099,2771152.2167,80002.36664,0,0,121.50374982044288,25.047670157470613
6191,A6301-0666-00,A6301-61-005,A6301-61,63000010,松山區,63000,臺北市,306944.87484,2771338.5907,5937.37786,0,0,121.56436455907844,25.04913483828545
6192,A6304-1068-00,A6304-68-005,A6304-68,63000040,中山區,63000,臺北市,302558.29565,2771331.36323,4917.60103,0,0,121.5208916139251,25.049228390255152
6193,A6301-0668-00,A6301-63-001,A6301-63,63000010,松山區,63000,臺北市,307336.02052,2771332.99459,7727.76321,0,0,121.5682407105221,25.049069539463524
6194,A6304-1062-00,A6304-67-008,A6304-67,63000040,中山區,63000,臺北市,304619.83721,2771351.85388,7236.9299,0,0,121.54132312302484,25.049340331668745
6195,A6304-1071-00,A6304-66-007,A6304-66,63000040,中山區,63000,臺北市,303079.41304,2771326.88769,6767.50684,0,0,121.52605592961241,25.0491697859699
6196,A6304-1067-00,A6304-72-005,A6304-72,63000040,中山區,63000,臺北市,302769.69172,2771336.50895,2434.02205,0,0,121.52298683380356,25.049267484431294
6197,A6304-1064-00,A6304-73-002,A6304-73,63000040,中山區,63000,臺北市,304767.02779,2771348.34859,4923.62348,0,0,121.54278169997914,25.049303363300048
6198,A6302-0003-00,A6302-01-001,A6302-01,63000020,信義區,63000,臺北市,307761.83231,2771304.73052,6677.68977,0,0,121.57245945739541,25.048798172601277
6199,A6302-0014-00,A6302-01-006,A6302-01,63000020,信義區,63000,臺北市,307886.71821,2771263.19692,36553.28971,2,0,121.57369536857779,25.048418438008344
6200,A6302-0008-00,A6302-01-003,A6302-01,63000020,信義區,63000,臺北市,307717.93312,2771291.74548,5371.93344,0,0,121.57202385939844,25.04868262125162
6201,A6309-0224-00,A6309-17-003,A6309-17,63000090,南港區,63000,臺北市,309527.1366,2771339.20737,3202.83292,0,0,121.58995560469687,25.04904097512484
6429,A6301-0755-00,A6301-66-005,A6301-66,63000010,松山區,63000,臺北市,304936.07718,2771095.84532,13204.41699,0,0,121.54444697691406,25.047017654244126
6430,A6301-0738-00,A6301-64-004,A6301-64,63000010,松山區,63000,臺北市,306354.0093,2771150.59418,6909.01118,0,0,121.558501189137,25.047459757411637
6431,A6309-0346-00,A6309-38-012,A6309-38,63000090,南港區,63000,臺北市,311611.13291,2770723.57291,176465.32897,0,0,121.61058103139665,25.04339968424948
6432,A6304-1143-00,A6304-76-004,A6304-76,63000040,中山區,63000,臺北市,303302.76977,2771132.92784,4925.35884,0,0,121.52826198090835,25.047410872947392
6433,A6304-1153-00,A6304-74-009,A6304-74,63000040,中山區,63000,臺北市,304255.1509,2771117.67095,7984.21769,0,0,121.53769971541765,25.0472392723895
6434,A6309-0275-00,A6309-22-003,A6309-22,63000090,南港區,63000,臺北市,308778.38776,2771094.14261,11893.68387,0,0,121.58252482957167,25.046857850300828
6435,A6304-1142-00,A6304-73-007,A6304-73,63000040,中山區,63000,臺北市,304764.87748,2771147.10013,6443.18345,1,0,121.54275239031814,25.047486586767373
6436,A6302-0034-00,A6302-01-008,A6302-01,63000020,信義區,63000,臺北市,307615.30997,2771138.32433,8315.62773,0,0,121.57100041882657,25.047301467247692
6437,A6304-1151-00,A6304-74-009,A6304-74,63000040,中山區,63000,臺北市,304338.81158,2771124.11618,10758.54468,0,0,121.53852906611705,25.047294456204735
6438,A6309-0271-00,A6309-20-006,A6309-20,63000090,南港區,63000,臺北市,311867.6541,2771108.84108,16764.49009,0,0,121.61314039966284,25.04686734270197
6678,A6302-0081-00,A6302-10-004,A6302-10,63000020,信義區,63000,臺北市,308442.26361,2770977.82892,4021.39381,0,0,121.57918886349901,25.04582081061983
6679,A6309-0302-00,A6309-20-008,A6309-20,63000090,南港區,63000,臺北市,311910.30527,2770972.71363,2132.23033,0,0,121.6135569596162,25.045636665294985
6680,A6305-0027-00,A6305-03-001,A6305-03,63000050,中正區,63000,臺北市,302983.28147,2770951.26776,5287.59596,0,0,121.52508878301714,25.04578208097962
6681,A6302-0083-00,A6302-07-003,A6302-07,63000020,信義區,63000,臺北市,308260.99852,2770963.17815,4576.41963,0,0,121.57739189838895,25.045695537884136
6682,A6309-0312-00,A6309-24-004,A6309-24,63000090,南港區,63000,臺北市,308940.15482,2770945.89281,5270.0443,0,0,121.58412161967419,25.04551317766758
6683,A6309-0311-00,A6309-23-008,A6309-23,63000090,南港區,63000,臺北市,312037.28076,2770945.4803,6724.15346,0,0,121.6148140565701,25.045385605910685
6684,A6305-0040-00,A6305-03-005,A6305-03,63000050,中正區,63000,臺北市,303643.53816,2770879.21932,37909.48342,1,0,121.53162920603333,25.04510836129492
6685,A6301-0808-00,A6301-70-006,A6301-70,63000010,松山區,63000,臺北市,306100.29928,2770957.68726,5103.33312,0,0,121.55597901419917,25.045727644674997
6686,A6304-1186-00,A6304-77-006,A6304-77,63000040,中山區,63000,臺北市,304109.05667,2770914.76828,9444.07227,0,0,121.53624392023077,25.04541271481295
6687,A6307-0030-00,A6307-02-006,A6307-02,63000070,萬華區,63000,臺北市,300754.99712,2770952.01321,1859.00127,0,0,121.50300617005225,25.045865219976633
