最小統計區代碼,X,Y
A6301-0146-00,305543.09165,2772521.7016
A6301-0147-00,305251.10951,2772518.98701
A6301-0148-00,305294.0852,2772518.53125
A6301-0149-00,307363.2181,2772511.46613
A6301-0150-00,306380.2481,2772511.95919
A6301-0151-00,304941.11659,2772504.56681
A6301-0152-00,304992.62123,2772504.3054
A6301-0153-00,306493.54753,2772504.02329
A6301-0154-00,305076.85578,2772502.7214
A6301-0155-00,307267.98957,2772502.34036
A6301-0156-00,306109.89084,2772499.59299
A6301-0157-00,306599.09623,2772495.46026
A6301-0158-00,305764.56775,2772491.38044
A6301-0159-00,306019.46725,2772490.68842
A6301-0160-00,306276.10187,2772485.84206
A6301-0161-00,306913.85167,2772482.52086
A6301-0162-00,305218.1504,2772482.44663
A6301-0163-00,305625.89663,2772477.67652
A6301-0164-00,307178.22339,2772483.9038
A6301-0165-00,306200.84073,2772479.23361
A6301-0166-00,306383.7423,2772475.67731
A6301-0167-00,307139.31083,2772470.63034
A6301-0168-00,307281.25871,2772471.40745
A6301-0169-00,306799.84035,2772470.64677
A6301-0170-00,307512.40995,2772467.86528
A6301-0171-00,307043.26582,2772468.04576
A6301-0172-00,306723.86926,2772465.54399
A6301-0173-00,306670.51934,2772461.52212
A6301-0174-00,306600.90112,2772458.30777
A6301-0175-00,305163.99285,2772451.58389
A6301-0176-00,305324.06362,2772456.49142
A6301-0177-00,305045.24485,2772452.35413
A6301-0178-00,305410.22613,2772447.16457
A6301-0179-00,306289.36403,2772442.07032
A6301-0180-00,306438.33003,2772442.72847
A6301-0181-00,305780.77119,2772441.07872
A6301-0182-00,306223.53165,2772440.45429
A6301-0183-00,306086.80308,2772440.14912
A6301-0184-00,305021.57,2772433.33158
A6301-0185-00,307327.4176,2772425.49613
A6301-0186-00,307163.33851,2772423.65235
A6301-0187-00,306605.01375,2772419.77509
A6301-0188-00,305287.45245,2772414.58764
A6301-0189-00,305503.31206,2772413.19644
A6301-0190-00,307048.9531,2772407.70166
A6301-0191-00,306087.44323,2772406.73911
A6301-0192-00,305844.62676,2772402.61401
A6301-0193-00,306439.52134,2772402.51572
A6301-0194-00,306286.51122,2772396.27764
A6301-0195-00,307275.14287,2772394.02694
A6301-0196-00,305039.67811,2772393.83268
A6301-0197-00,305749.5667,2772393.03943
A6301-0198-00,305171.17332,2772392.19509
A6301-0199-00,305657.50584,2772391.27921
A6301-0200-00,306197.57787,2772388.61009
A6301-0201-00,307167.56164,2772385.1069
A6301-0202-00,305580.79878,2772383.13164
A6301-0203-00,306981.61308,2772382.32034
A6301-0204-00,306949.15899,2772379.57629
A6301-0205-00,306725.71499,2772378.45143
A6301-0206-00,306608.52312,2772377.12307
A6301-0207-00,306889.87227,2772374.51498
A6301-0208-00,306085.38281,2772371.12922
A6301-0209-00,306803.11446,2772366.04353
A6301-0210-00,307384.63674,2772366.31478
A6301-0211-00,305459.09461,2772362.09105
A6301-0212-00,307053.35619,2772359.91654
A6301-0213-00,307289.55268,2772358.45556
A6301-0214-00,306679.31631,2772356.4793
A6301-0215-00,304938.27477,2772354.11083
A6301-0216-00,307449.57074,2772351.24721
A6301-0217-00,305812.16264,2772350.56564
A6301-0218-00,305322.566,2772342.52221
A6301-0219-00,306492.85183,2772348.98979
A6301-0220-00,307171.06155,2772347.55537
A6301-0221-00,306367.11654,2772337.95251
A6301-0222-00,305662.77335,2772335.02167
A6301-0223-00,306114.91728,2772334.50614
A6301-0224-00,306729.80564,2772332.40293
A6301-0225-00,306254.9034,2772328.1265
A6301-0226-00,305038.05857,2772326.33075
A6301-0227-00,307333.11333,2772326.39253
A6301-0228-00,305583.24247,2772326.12588
A6301-0229-00,305169.73618,2772324.72295
A6301-0230-00,307047.8101,2772322.26088
A6301-0231-00,306614.62436,2772320.57548
A6301-0232-00,305980.23837,2772317.73354
A6301-0233-00,305467.83885,2772311.81304
A6301-0234-00,306952.56464,2772313.49438
A6301-0235-00,307175.29619,2772312.51888
A6301-0236-00,305862.66922,2772306.51925
A6301-0237-00,306739.15885,2772294.61891
A6301-0238-00,306887.00633,2772292.29903
A6301-0239-00,305721.00917,2772291.40627
A6301-0240-00,307050.97323,2772288.89885
A6301-0241-00,306830.47672,2772287.11548
A6301-0242-00,306954.99728,2772280.52867
A6301-0243-00,306165.38309,2772278.03358
A6301-0244-00,306520.94522,2772276.34298
A6301-0245-00,307162.89296,2772275.71082
A6301-0246-00,307339.83812,2772275.24941
A6301-0247-00,305987.35295,2772271.79243
A6301-0248-00,306078.77995,2772271.02844
A6301-0249-00,305603.57217,2772266.61609
A6301-0250-00,307186.56215,2772256.16401
A6301-0251-00,305476.9433,2772261.00007
A6301-0252-00,306336.37003,2772261.23418
A6301-0253-00,305867.74236,2772259.67463
A6301-0254-00,306741.18842,2772258.66007
A6301-0255-00,307052.29752,2772258.17645
A6301-0256-00,306442.46615,2772249.83664
A6301-0257-00,305725.13618,2772245.28227
A6301-0258-00,304987.35974,2772244.3013
A6301-0259-00,305056.61278,2772243.80005
A6301-0260-00,306924.76452,2772242.7656
A6301-0261-00,305164.74404,2772242.86128
A6301-0262-00,305994.3499,2772231.01106
A6301-0263-00,306767.8357,2772230.83857
A6301-0264-00,307056.22759,2772229.52593
A6301-0265-00,306621.91672,2772229.67761
A6301-0266-00,307407.824,2772224.87404
A6301-0267-00,305293.53794,2772229.18192
A6301-0268-00,305878.06708,2772219.52284
A6301-0269-00,307471.93074,2772212.82034
A6301-0270-00,306926.79458,2772211.96557
A6301-0271-00,305894.53141,2772197.05494
A6301-0272-00,306526.4887,2772203.03417
A6301-0273-00,307166.7852,2772202.25995
A6301-0274-00,306770.6698,2772201.75875
A6301-0275-00,307326.25929,2772201.39587
A6301-0276-00,305816.93959,2772197.69057
A6301-0277-00,306461.6573,2772197.2962
A6301-0278-00,305628.8696,2772198.27715
A6301-0279-00,307251.76691,2772195.2529
A6301-0280-00,304938.12568,2772206.51096
A6301-0281-00,305998.61546,2772189.11365
A6301-0282-00,307414.45616,2772188.22278
A6301-0283-00,306364.5395,2772188.29063
A6301-0284-00,305321.35517,2772179.39431
A6301-0285-00,306132.66037,2772182.99005
A6301-0286-00,306255.95441,2772183.43253
A6301-0287-00,307087.1249,2772178.36582
A6301-0288-00,305014.95964,2772181.93455
A6301-0289-00,305058.08213,2772175.48747
A6301-0290-00,305732.03107,2772181.0939
A6301-0291-00,307001.40602,2772172.91083
A6301-0292-00,307179.62161,2772165.96983
A6301-0293-00,306911.5707,2772165.03345
A6301-0294-00,306240.32971,2772157.70637
A6301-0295-00,305499.17822,2772158.95284
A6301-0296-00,305154.73094,2772155.62588
A6301-0297-00,304924.02067,2772147.06663
A6301-0298-00,306784.7201,2772146.17867
A6301-0299-00,306001.69065,2772144.67367
A6301-0300-00,305870.56065,2772142.83193
A6301-0301-00,307140.38585,2772135.98246
A6301-0302-00,307298.08435,2772139.1547
A6301-0303-00,306647.19513,2772134.75086
A6301-0304-00,305211.09112,2772130.791
A6301-0305-00,305043.21449,2772133.62798
A6301-0306-00,306562.1394,2772127.75908
A6301-0307-00,306353.79267,2772127.84267
A6301-0308-00,307326.89688,2772125.168
A6301-0309-00,306298.97793,2772122.06773
A6301-0310-00,306462.609,2772118.44431
A6301-0311-00,305025.19019,2772117.28698
A6301-0312-00,306252.69138,2772116.95661
A6301-0313-00,307181.64087,2772111.21839
A6301-0314-00,306177.69154,2772109.10419
A6301-0315-00,307020.6802,2772109.0306
A6301-0316-00,306961.10429,2772103.35962
A6301-0317-00,307094.29935,2772102.88071
A6301-0318-00,305561.61214,2772097.60404
A6301-0319-00,306099.34259,2772101.02397
A6301-0320-00,306903.83746,2772099.4534
A6301-0321-00,305684.6123,2772093.27465
A6301-0322-00,305935.09552,2772093.01181
A6301-0323-00,305861.71227,2772090.65618
A6301-0324-00,306373.38145,2772087.7237
A6301-0325-00,305816.82612,2772087.31475
A6301-0326-00,307430.37969,2772086.75487
A6301-0327-00,307322.37639,2772082.65467
A6301-0328-00,306319.82721,2772080.72409
A6301-0329-00,305050.43105,2772081.49101
A6301-0330-00,307261.24311,2772076.97699
A6301-0331-00,306817.14086,2772075.87421
A6301-0332-00,307493.53265,2772074.89433
A6301-0333-00,306181.94081,2772073.94203
A6301-0334-00,306257.07564,2772073.07058
A6301-0335-00,306030.07113,2772072.67071
A6301-0336-00,306705.38471,2772065.6468
A6301-0337-00,305284.85175,2772053.13282
A6301-0338-00,306628.32389,2772059.87129
A6301-0339-00,306106.1339,2772054.86072
A6301-0340-00,306571.19678,2772054.18287
A6301-0341-00,306184.82655,2772052.00575
A6301-0342-00,305509.30424,2772047.25066
A6301-0343-00,304932.77977,2772047.93869
A6301-0344-00,307013.76636,2772046.43257
A6301-0345-00,305940.32902,2772041.71506
A6301-0346-00,305552.23299,2772039.74271
A6301-0347-00,306924.56661,2772039.6006
A6301-0348-00,305867.11113,2772036.50215
A6301-0349-00,305442.07232,2772032.06224
A6301-0350-00,307146.38753,2772033.94327
A6301-0351-00,305818.9365,2772032.09754
A6301-0352-00,307312.32796,2772027.28218
A6301-0353-00,307383.51812,2772020.8876
A6301-0354-00,306841.79943,2772016.10652
A6301-0355-00,307282.10426,2772010.6343
A6301-0356-00,305077.35883,2772010.09272
A6301-0357-00,306769.64232,2772009.99004
A6301-0358-00,306692.41432,2772003.67258
A6301-0359-00,306472.38432,2772003.07462
A6301-0360-00,306988.51567,2771995.57769
A6301-0361-00,306594.91315,2771996.04665
A6301-0362-00,305752.65343,2771993.832
A6301-0363-00,305668.29385,2771992.02876
A6301-0364-00,305596.68405,2771989.26137
A6301-0365-00,305532.57838,2771985.54379
A6301-0366-00,306054.2304,2771986.33283
A6301-0367-00,307032.79382,2771982.10045
A6301-0368-00,306590.26007,2771977.3785
A6301-0369-00,306918.30765,2771978.63041
A6301-0370-00,305938.13586,2771977.00166
A6301-0371-00,307450.3836,2771968.54265
A6301-0372-00,305822.12373,2771966.74993
A6301-0373-00,307303.92973,2771966.8059
A6301-0374-00,306962.15279,2771962.60732
A6301-0375-00,304931.00206,2771962.16122
A6301-0376-00,305205.05348,2771954.50589
A6301-0377-00,306252.35266,2771952.06804
A6301-0378-00,305342.13841,2771950.45221
A6301-0379-00,305441.07399,2771944.56306
A6301-0380-00,307152.92257,2771943.2395
A6301-0381-00,305555.20294,2771941.26591
A6301-0382-00,306849.33814,2771940.00443
A6301-0383-00,306776.37725,2771934.0795
A6301-0384-00,307306.45717,2771933.4107
A6301-0385-00,306697.20981,2771928.85793
A6301-0386-00,307518.64005,2771927.53209
A6301-0387-00,305668.8905,2771926.50147
A6301-0388-00,306980.79252,2771925.48548
A6301-0389-00,305751.92975,2771925.38628
A6301-0390-00,306599.84433,2771921.58604
A6301-0391-00,306056.10125,2771914.59812
A6301-0392-00,305555.7257,2771914.4355
A6301-0393-00,306478.57564,2771913.46882
A6301-0394-00,305961.05718,2771907.83915
A6301-0395-00,304930.23292,2771907.87954
A6301-0396-00,305892.90525,2771902.21421
A6301-0397-00,307398.03071,2771900.16513
A6301-0398-00,305824.23172,2771896.85637
A6301-0399-00,307306.14175,2771894.19684
A6301-0400-00,305135.97754,2771896.53686
A6301-0401-00,305230.64388,2771891.04343
A6301-0402-00,305033.12325,2771892.79523
A6301-0403-00,306481.50434,2771883.84325
A6301-0404-00,307073.76537,2771882.57225
A6301-0405-00,305440.03632,2771878.3509
A6301-0406-00,306103.37976,2771876.07797
A6301-0407-00,305549.77672,2771874.09688
A6301-0408-00,305662.99844,2771872.03032
A6301-0409-00,307631.38645,2771858.18473
A6301-0410-00,307196.87968,2771857.65999
A6301-0411-00,306958.33397,2771855.29216
A6301-0412-00,306861.77691,2771852.826
A6301-0413-00,306769.34479,2771851.18713
A6301-0414-00,306035.40112,2771850.57276
A6301-0415-00,307401.55836,2771849.35528
A6301-0416-00,306648.62953,2771848.48777
A6301-0417-00,305750.85002,2771848.7951
A6301-0418-00,306501.31276,2771848.76238
A6301-0419-00,305965.74012,2771845.0305
A6301-0420-00,307316.48728,2771844.89967
A6301-0421-00,306114.36519,2771844.30873
A6301-0422-00,305898.73201,2771840.41247
A6301-0423-00,307474.37263,2771836.96799
A6301-0424-00,304929.41692,2771836.82543
A6301-0425-00,305826.80577,2771835.01123
A6301-0426-00,305001.71818,2771833.69266
A6301-0427-00,307072.61625,2771832.47487
A6301-0428-00,305653.40734,2771831.71604
A6301-0429-00,305224.32682,2771830.14152
A6301-0430-00,306533.07494,2771824.33739
A6301-0431-00,305095.28717,2771817.29109
A6301-0432-00,305565.47823,2771822.80469
A6301-0433-00,305666.16798,2771816.60274
A6301-0434-00,306370.9179,2771817.76421
A6301-0435-00,305268.79319,2771812.75629
A6301-0436-00,306239.76383,2771810.93713
A6301-0437-00,307404.89021,2771804.62728
A6301-0438-00,306096.43399,2771801.64052
A6301-0439-00,307325.68958,2771798.77657
A6301-0440-00,305943.10258,2771794.27756
A6301-0441-00,306504.52155,2771791.78759
A6301-0442-00,307543.18782,2771790.97956
A6301-0443-00,307204.33666,2771790.36957
A6301-0444-00,306648.28371,2771790.04528
A6301-0445-00,306337.56554,2771787.05963
A6301-0446-00,307071.55257,2771783.02827
A6301-0447-00,305688.39285,2771780.76685
A6301-0448-00,305791.39577,2771773.61624
A6301-0449-00,305210.79635,2771775.82488
A6301-0450-00,305323.77826,2771764.95044
A6301-0451-00,305565.15491,2771771.27773
A6301-0452-00,307368.3639,2771765.67213
A6301-0453-00,306953.34992,2771772.83353
A6301-0454-00,307208.86655,2771762.74713
A6301-0455-00,306103.55483,2771759.98705
A6301-0456-00,305196.1363,2771757.45206
A6301-0457-00,306365.70545,2771755.62645
A6301-0458-00,305681.16687,2771754.59813
A6301-0459-00,305008.51314,2771754.13432
A6301-0460-00,305940.19914,2771752.97106
A6301-0461-00,306246.62043,2771748.15099
A6301-0462-00,306486.91794,2771747.22345
A6301-0463-00,305847.43279,2771741.13639
A6301-0464-00,306521.22448,2771736.87001
A6301-0465-00,306647.65612,2771739.47148
A6301-0466-00,306099.88289,2771737.74677
A6301-0467-00,306801.30191,2771734.26907
A6301-0468-00,305454.23792,2771737.199
A6301-0469-00,305054.13887,2771730.82398
A6301-0470-00,306977.41072,2771734.4704
A6301-0471-00,306364.74352,2771730.56763
A6301-0472-00,307070.5183,2771730.17545
A6301-0473-00,306935.0844,2771725.15364
A6301-0474-00,307161.96236,2771726.03131
A6301-0475-00,307365.58328,2771728.95619
A6301-0476-00,307252.15884,2771723.12516
A6301-0477-00,305119.57715,2771721.77559
A6301-0478-00,307488.04736,2771719.56208
A6301-0479-00,305207.32044,2771720.53568
A6301-0480-00,305564.91549,2771713.30964
A6301-0481-00,306088.72877,2771712.20989
A6301-0482-00,305789.91603,2771711.35532
A6301-0483-00,307385.95003,2771710.68725
A6301-0484-00,304941.62818,2771723.51087
A6301-0485-00,305683.31488,2771706.90062
A6301-0486-00,305939.74627,2771702.30407
A6301-0487-00,306119.36465,2771692.60414
A6301-0488-00,306255.91036,2771695.88866
A6301-0489-00,306363.69157,2771692.35754
A6301-0490-00,306954.69066,2771690.94298
A6301-0491-00,306503.71531,2771689.89713
A6301-0492-00,306646.82194,2771686.78308
A6301-0493-00,304969.22254,2771678.07577
A6301-0494-00,307069.56179,2771676.34002
A6301-0495-00,307175.48348,2771669.99512
A6301-0496-00,307244.47522,2771674.58882
A6301-0497-00,307380.77547,2771670.32189
A6301-0498-00,307492.45231,2771667.49327
A6301-0499-00,306954.04192,2771665.68563
A6301-0500-00,305097.00662,2771662.34029
A6301-0501-00,306072.49667,2771661.37036
A6301-0502-00,305206.3641,2771660.21662
A6301-0503-00,307569.9773,2771658.17517
A6301-0504-00,305514.32214,2771651.61608
A6301-0505-00,305647.67874,2771647.24648
A6301-0506-00,308046.2516,2771637.95045
A6301-0507-00,305812.10303,2771644.96055
A6301-0508-00,305929.27539,2771648.38779
A6301-0509-00,306186.07555,2771636.9162
A6301-0510-00,306263.47024,2771637.47392
A6301-0511-00,308462.46559,2771637.05314
A6301-0512-00,306322.02358,2771634.70774
A6301-0513-00,306357.40715,2771633.10372
A6301-0514-00,306398.77726,2771633.2798
A6301-0515-00,308492.18138,2771629.74083
A6301-0516-00,306456.34564,2771633.65204
A6301-0517-00,305955.32583,2771631.07858
A6301-0518-00,306530.30608,2771629.09652
A6301-0519-00,306072.71423,2771628.94757
A6301-0520-00,306645.28431,2771627.77536
A6301-0521-00,308394.71877,2771627.79463
A6301-0522-00,306799.22518,2771624.31051
A6301-0523-00,306953.50344,2771621.1
A6301-0524-00,307068.54686,2771618.44351
A6301-0525-00,307178.65299,2771616.05217
A6301-0526-00,307290.65319,2771613.81345
A6301-0527-00,307389.32711,2771612.7254
A6301-0528-00,307496.41204,2771609.962
A6301-0529-00,308348.3163,2771600.04767
A6301-0530-00,308401.89248,2771597.07289
A6301-0531-00,305011.69274,2771590.93381
A6301-0532-00,308314.03094,2771589.20757
A6301-0533-00,305319.52372,2771580.69004
A6301-0534-00,306371.22222,2771579.12939
A6301-0535-00,306075.47795,2771574.94884
A6301-0536-00,308242.62906,2771572.08368
A6301-0537-00,306185.62304,2771569.3017
A6301-0538-00,306244.71139,2771573.00345
A6301-0539-00,306318.82873,2771570.31434
A6301-0540-00,306810.39998,2771569.82945
A6301-0541-00,306387.96548,2771563.89307
A6301-0542-00,306447.28006,2771567.15705
A6301-0543-00,306489.35906,2771566.22484
A6301-0544-00,304926.3791,2771566.95235
A6301-0545-00,306543.95175,2771564.83616
A6301-0546-00,305815.58293,2771564.00422
A6301-0547-00,307179.43003,2771562.32459
A6301-0548-00,306630.86303,2771562.44743
A6301-0549-00,307265.55665,2771560.53639
A6301-0550-00,307329.17605,2771559.23976
A6301-0551-00,306719.61611,2771559.54385
A6301-0552-00,306784.75006,2771556.27918
A6301-0553-00,306865.41386,2771554.64913
A6301-0554-00,306928.41815,2771556.68198
A6301-0555-00,307639.55832,2771552.18383
A6301-0556-00,306973.94733,2771554.25101
A6301-0557-00,307021.1549,2771552.15585
A6301-0558-00,307087.35958,2771550.95504
A6301-0559-00,307389.67253,2771548.24364
A6301-0560-00,307487.82165,2771548.79438
A6301-0561-00,305927.94943,2771556.9172
A6301-0562-00,308118.90679,2771544.12694
A6301-0563-00,305153.58736,2771535.27683
A6301-0564-00,305935.57966,2771530.12851
A6301-0565-00,308404.29115,2771526.54616
A6301-0566-00,307178.15471,2771528.02791
A6301-0567-00,305005.71758,2771531.87206
A6301-0568-00,307302.74546,2771525.09587
A6301-0569-00,306499.85471,2771520.42616
A6301-0570-00,308010.41055,2771519.05743
A6301-0571-00,306075.40058,2771518.4417
A6301-0572-00,305317.91151,2771517.98573
A6301-0573-00,305022.48116,2771515.40811
A6301-0574-00,306214.41756,2771514.66855
A6301-0575-00,306353.84503,2771511.45128
A6301-0576-00,307583.80259,2771512.25668
A6301-0577-00,307927.82275,2771507.81962
A6301-0578-00,307482.02109,2771505.48137
A6301-0579-00,306504.3988,2771497.62765
A6301-0580-00,305813.71084,2771498.56639
A6301-0581-00,306790.75438,2771497.15263
A6301-0582-00,306852.6871,2771496.30343
A6301-0583-00,306740.13356,2771495.72793
A6301-0584-00,307740.70311,2771498.88805
A6301-0585-00,308241.40626,2771493.32147
A6301-0586-00,306683.1373,2771494.34547
A6301-0587-00,306617.10279,2771492.38286
A6301-0588-00,307283.94616,2771486.12296
A6301-0589-00,308154.26258,2771481.74927
A6301-0590-00,307170.32759,2771487.79303
A6301-0591-00,307086.37817,2771480.94047
A6301-0592-00,304923.95994,2771478.08809
A6301-0593-00,306213.79809,2771478.05671
A6301-0594-00,306990.18948,2771479.43354
A6301-0595-00,307803.32042,2771481.15569
A6301-0596-00,305978.71869,2771455.93424
A6301-0597-00,307193.22932,2771474.95819
A6301-0598-00,305009.00319,2771473.89965
A6301-0599-00,306916.67936,2771471.94819
A6301-0600-00,308042.71703,2771469.66672
A6301-0601-00,306074.52043,2771471.13426
A6301-0602-00,305317.36497,2771468.72109
A6301-0603-00,307434.85813,2771472.12483
A6301-0604-00,307664.69627,2771462.84538
A6301-0605-00,307364.75156,2771464.81864
A6301-0606-00,307864.64114,2771456.58751
A6301-0607-00,306212.98852,2771454.61392
A6301-0608-00,307288.97046,2771449.26864
A6301-0609-00,307513.02166,2771445.46738
A6301-0610-00,305796.04566,2771447.21997
A6301-0611-00,306520.65412,2771451.274
A6301-0612-00,307591.58731,2771445.57046
A6301-0613-00,306856.07952,2771446.08898
A6301-0614-00,306796.40343,2771441.77683
A6301-0615-00,307178.49227,2771439.96626
A6301-0616-00,307555.73465,2771432.40723
A6301-0617-00,305912.38814,2771429.63812
A6301-0618-00,306074.0966,2771427.91348
A6301-0619-00,306212.37305,2771425.13672
A6301-0620-00,305577.60356,2771423.90732
A6301-0621-00,307451.9605,2771422.5942
A6301-0622-00,308399.53776,2771415.21059
A6301-0623-00,307291.93008,2771422.28473
A6301-0624-00,304990.15768,2771418.67833
A6301-0625-00,307089.86115,2771418.69834
A6301-0626-00,305060.08273,2771419.30923
A6301-0627-00,305124.66822,2771417.26845
A6301-0628-00,305186.17742,2771421.80207
A6301-0629-00,306371.7119,2771420.54119
A6301-0630-00,306540.45339,2771409.91899
A6301-0631-00,305843.06035,2771412.34464
A6301-0632-00,307181.93417,2771411.58184
A6301-0633-00,307007.55942,2771410.64495
A6301-0634-00,308247.65705,2771406.77557
A6301-0635-00,308198.4889,2771404.23113
