,統一編號,商業名稱,商業地址,登記狀態,Type
12692,10299090,騰森企業行,臺北市內湖區內湖路1段91巷55號3樓之2,核准設立,餐廳餐館
12711,10301498,小象牙丸商行,臺北市大安區新生南路1段161之3號,核准設立,餐廳餐館
12724,10302530,查爾斯餐廳,臺北市松山區延壽街115號,核准設立,餐廳餐館
12727,10302861,丼饌美食坊,臺北市內湖區港墘路54號,核准設立,餐廳餐館
12737,10304312,黑潮雅客飲食舖,臺北市士林區華齡街186號,核准設立,餐廳餐館
12746,10305327,大小二馬滷味店,臺北市大安區信義路3段23之1號1樓,核准設立,餐廳餐館
12751,10305570,景興麵食館,臺北市文山區景興路135號,核准設立,餐廳餐館
12759,10307269,柳葉涮涮鍋,臺北市大同區寧夏路67號1樓,核准設立,餐廳餐館
12778,10308598,立泰小吃店,臺北市信義區和平東路3段363號1樓,核准設立,餐廳餐館
12782,10309055,美方琪食坊,臺北市萬華區環河南路2段5巷11號,核准設立,餐廳餐館
12798,10311398,老外一品牛肉麵,臺北市中山區吉林路403號,核准設立,餐廳餐館
12804,10312241,青松小吃店,臺北市內湖區麗山街348巷19號,核准設立,餐廳餐館
12810,10314352,慈軒園素食店,臺北市松山區延吉街59號,核准設立,餐廳餐館
12814,10314846,囍饕小吃店,臺北市萬華區漢口街2段34巷2號,核准設立,餐廳餐館
12815,10314944,葉嘉美食小館,臺北市中正區汀州路2段207號,核准設立,餐廳餐館
12823,10315731,味覺義廚館,臺北市士林區天母北路2之1號1樓,核准設立,餐廳餐館
12832,10317674,老永舜日式料理店,臺北市文山區興隆路1段269號,核准設立,餐廳餐館
12838,10318126,味巧小吃店,臺北市大安區通化街265號,核准設立,餐廳餐館
12849,10319336,林記美食站,臺北市文山區指南路2段65號,核准設立,餐廳餐館
12854,10321261,拉亞樂漢堡店,臺北市大同區敦煌路28號,核准設立,餐廳餐館
12866,10322944,和楓食堂,臺北市士林區前港街12號,核准設立,餐廳餐館
12871,10323232,楓食堂日式創作料理店,臺北市中山區興安路44號,核准設立,餐廳餐館
12892,10332577,故鄉扁食小舖,臺北市松山區民權東路3段160巷15號,核准設立,餐廳餐館
12898,10334189,松日日式料理店,臺北市中山區林森北路104號1樓,核准設立,餐廳餐館
12912,10336150,玖美飯包店,臺北市南港區南港路1段191號,核准設立,餐廳餐館
12953,10340730,美鳳紅麵線店,臺北市大安區忠孝東路4段181巷7弄3號,核准設立,餐廳餐館
12955,10340817,新鮮吧美食店,臺北市南港區南港路1段163號,核准設立,餐廳餐館
12958,10342548,馥鍋日式涮涮鍋,臺北市大同區重慶北路3段181號1樓,核准設立,餐廳餐館
12960,10343005,立碁商行,臺北市松山區八德路4段36巷8號,核准設立,餐廳餐館
12966,10343589,御金軒小吃店,臺北市萬華區峨眉街6巷4號1樓,核准設立,餐廳餐館
12987,10345101,四方居餐坊,臺北市士林區天母西路5巷4弄4號1樓,核准設立,餐廳餐館
